,uid,type,total
0,u00,pre,48.0
1,u01,pre,45.0
2,u02,pre,46.0
3,u03,pre,34.0
4,u04,pre,27.0
5,u05,pre,48.0
6,u07,pre,49.0
7,u08,pre,39.0
8,u09,pre,46.0
9,u10,pre,39.0
10,u12,pre,49.0
11,u13,pre,44.0
12,u14,pre,52.0
13,u15,pre,43.0
14,u16,pre,42.0
15,u17,pre,37.0
16,u18,pre,37.0
17,u19,pre,42.0
18,u20,pre,45.0
19,u22,pre,46.0
20,u23,pre,35.0
21,u24,pre,41.0
22,u27,pre,31.0
23,u30,pre,52.0
24,u31,pre,16.0
25,u32,pre,54.0
26,u33,pre,31.0
27,u34,pre,49.0
28,u35,pre,48.0
29,u36,pre,46.0
30,u39,pre,15.0
31,u42,pre,45.0
32,u43,pre,47.0
33,u44,pre,48.0
34,u45,pre,48.0
35,u46,pre,42.0
36,u47,pre,51.0
37,u49,pre,51.0
38,u50,pre,48.0
39,u51,pre,40.0
40,u52,pre,34.0
41,u53,pre,50.0
42,u56,pre,46.0
43,u57,pre,50.0
44,u58,pre,51.0
45,u59,pre,43.0
46,u00,post,45.0
47,u01,post,46.0
48,u02,post,44.0
49,u03,post,31.0
50,u04,post,33.0
51,u05,post,50.0
52,u07,post,47.0
53,u09,post,47.0
54,u10,post,39.0
55,u14,post,53.0
56,u15,post,48.0
57,u16,post,41.0
58,u17,post,38.0
59,u19,post,42.0
60,u20,post,45.0
61,u23,post,42.0
62,u24,post,43.0
63,u27,post,31.0
64,u30,post,56.0
65,u31,post,36.0
66,u32,post,56.0
67,u33,post,28.0
68,u34,post,23.0
69,u35,post,44.0
70,u36,post,46.0
71,u42,post,16.0
72,u43,post,42.0
73,u44,post,41.0
74,u45,post,49.0
75,u46,post,44.0
76,u47,post,52.0
77,u49,post,55.0
78,u51,post,48.0
79,u52,post,37.0
80,u53,post,49.0
81,u56,post,48.0
82,u59,post,50.0
