,uid,type,I lead a purposeful and meaningful life,My social relationships are supportive and rewarding,I am engaged and interested in my daily activities,I actively contribute to the happiness and well-being of others,I am competent and capable in the activities that are important to me,I am a good person and live a good life,I am optimistic about my future,People respect me
0,u00,pre,7,6,5.0,6.0,6.0,7.0,7,4
1,u01,pre,4,6,6.0,6.0,7.0,6.0,4,6
2,u02,pre,6,7,5.0,6.0,5.0,6.0,4,7
3,u03,pre,6,2,2.0,4.0,5.0,6.0,5,4
4,u04,pre,3,5,4.0,3.0,2.0,2.0,3,5
5,u05,pre,6,6,6.0,6.0,6.0,6.0,6,6
6,u07,pre,7,5,6.0,5.0,7.0,7.0,7,5
7,u08,pre,5,5,5.0,5.0,5.0,6.0,4,4
8,u09,pre,5,4,6.0,6.0,6.0,7.0,7,5
9,u10,pre,6,3,6.0,1.0,7.0,4.0,6,6
10,u12,pre,7,6,5.0,6.0,7.0,7.0,7,4
11,u13,pre,6,6,4.0,5.0,6.0,6.0,7,4
12,u14,pre,7,7,7.0,6.0,6.0,7.0,6,6
13,u15,pre,5,6,4.0,4.0,6.0,6.0,6,6
14,u16,pre,6,6,7.0,5.0,3.0,7.0,4,4
15,u17,pre,5,5,5.0,4.0,4.0,7.0,3,4
16,u18,pre,6,7,5.0,4.0,5.0,2.0,3,5
17,u19,pre,6,6,6.0,5.0,5.0,4.0,5,5
18,u20,pre,7,7,5.0,6.0,4.0,6.0,6,4
19,u22,pre,6,5,5.0,6.0,6.0,6.0,5,7
20,u23,pre,5,4,5.0,5.0,3.0,4.0,4,5
21,u24,pre,6,5,3.0,3.0,6.0,7.0,7,4
22,u27,pre,4,4,3.0,3.0,4.0,4.0,4,5
23,u30,pre,7,7,6.0,6.0,7.0,7.0,7,5
24,u31,pre,3,2,2.0,1.0,4.0,1.0,1,2
25,u32,pre,7,7,6.0,7.0,7.0,7.0,7,6
26,u33,pre,2,3,2.0,6.0,2.0,5.0,5,6
27,u34,pre,6,6,5.0,6.0,6.0,7.0,7,6
28,u35,pre,7,6,6.0,6.0,5.0,6.0,6,6
29,u36,pre,6,6,6.0,6.0,6.0,5.0,6,5
30,u39,pre,1,1,2.0,2.0,2.0,2.0,2,3
31,u42,pre,5,6,6.0,6.0,4.0,7.0,6,5
32,u43,pre,6,6,6.0,5.0,6.0,7.0,6,5
33,u44,pre,6,6,6.0,6.0,6.0,6.0,6,6
34,u45,pre,5,7,4.0,5.0,6.0,7.0,7,7
35,u46,pre,5,4,5.0,6.0,7.0,5.0,6,4
36,u47,pre,7,7,5.0,5.0,6.0,7.0,7,7
37,u49,pre,7,6,6.0,5.0,6.0,7.0,7,7
38,u50,pre,6,6,6.0,5.0,6.0,7.0,7,5
39,u51,pre,5,5,5.0,5.0,5.0,5.0,5,5
40,u52,pre,3,2,4.0,3.0,7.0,5.0,6,4
41,u53,pre,7,7,6.0,6.0,6.0,6.0,6,6
42,u56,pre,5,6,5.0,5.0,6.0,6.0,7,6
43,u57,pre,6,6,7.0,6.0,6.0,7.0,6,6
44,u58,pre,7,5,7.0,6.0,7.0,7.0,7,5
45,u59,pre,5,5,4.0,5.0,5.0,6.0,7,6
46,u00,post,6,5,6.0,6.0,6.0,6.0,5,5
47,u01,post,5,5,6.0,5.0,7.0,6.0,6,6
48,u02,post,5,6,4.0,6.0,5.0,6.0,5,7
49,u03,post,3,5,5.0,5.0,4.0,3.0,3,3
50,u04,post,5,5,4.0,3.0,4.0,4.0,3,5
51,u05,post,6,7,6.0,6.0,6.0,6.0,6,7
52,u07,post,6,6,5.0,5.0,7.0,6.0,6,6
53,u09,post,6,5,7.0,5.0,6.0,7.0,6,5
54,u10,post,7,1,7.0,1.0,7.0,4.0,6,6
55,u14,post,7,7,7.0,6.0,6.0,7.0,7,6
56,u15,post,6,6,6.0,6.0,6.0,6.0,6,6
57,u16,post,6,6,3.0,5.0,5.0,7.0,5,4
58,u17,post,3,6,4.0,3.0,4.0,7.0,4,7
59,u19,post,5,5,6.0,5.0,5.0,5.0,5,6
60,u20,post,7,7,4.0,6.0,4.0,7.0,6,4
61,u23,post,6,5,5.0,5.0,6.0,5.0,5,5
62,u24,post,6,4,3.0,3.0,7.0,7.0,7,6
63,u27,post,4,3,4.0,4.0,4.0,4.0,4,4
64,u30,post,7,7,7.0,7.0,7.0,7.0,7,7
65,u31,post,5,4,2.0,4.0,5.0,7.0,7,2
66,u32,post,7,7,7.0,7.0,7.0,7.0,7,7
67,u33,post,3,2,2.0,5.0,5.0,4.0,3,4
68,u34,post,7,2,4.0,3.0,3.0,1.0,1,2
69,u35,post,6,6,4.0,6.0,5.0,6.0,6,5
70,u36,post,6,6,4.0,6.0,6.0,6.0,6,6
71,u42,post,2,2,2.0,2.0,2.0,2.0,2,2
72,u43,post,6,5,5.0,4.0,5.0,6.0,6,5
73,u44,post,5,5,5.0,5.0,5.0,5.0,5,6
74,u45,post,7,6,5.0,6.0,6.0,7.0,6,6
75,u46,post,7,6,5.0,6.0,5.0,6.0,5,4
76,u47,post,7,7,7.0,7.0,5.0,7.0,5,7
77,u49,post,7,7,7.0,6.0,7.0,7.0,7,7
78,u51,post,6,6,6.0,6.0,6.0,6.0,6,6
79,u52,post,4,6,4.0,4.0,7.0,6.0,2,4
80,u53,post,7,6,6.0,6.0,6.0,6.0,6,6
81,u56,post,5,6,6.0,7.0,6.0,6.0,6,6
82,u59,post,6,6,5.0,6.0,7.0,7.0,7,6
